0.000000, -0.004153	 -0.008279, -0.012378	 -0.016440, -0.020475
-0.395844, -0.408290	 -0.410282, -0.412170	 -0.414027, -0.415676
-0.417298, -0.418883	 -0.430353, -0.430938	 -0.431438, -0.431649
-0.431862, -0.432049	 -0.431680, -0.440794	 -0.439934, -0.438476
-0.436996, -0.435500	 -0.433989, -0.431724	 -0.438702, -0.433896
-0.428395, -0.422899	 -0.417414, -0.411573	 -0.405749, -0.404049
-0.397944, -0.391854	 -0.385791, -0.380122	 -0.374484, -0.368879
-0.361057, -0.356504	 -0.351984, -0.348055	 -0.344155, -0.340285
-0.336445, -0.327751	 -0.324981, -0.322265	 -0.319739, -0.317237
-0.314761, -0.312463	 -0.304794, -0.301149	 -0.296706, -0.292299
-0.287930, -0.282643	 -0.277422, -0.263943	 -0.257805, -0.251754
-0.245759, -0.239820	 -0.233940, -0.228079	 -0.208870, -0.204552
-0.200171, -0.195831	 -0.192259, -0.188779	 -0.170813, -0.169544
-0.168344, -0.167176	 -0.166490, -0.165908	 -0.156011, -0.155546
-0.155079, -0.154623	 -0.153693, -0.152777	 -0.151870, -0.149982
-0.147889, -0.145796	 -0.143378, -0.140969	 -0.138569, -0.135853
-0.132502, -0.129205	 -0.125745, -0.122314	 -0.118908, -0.115220
-0.111548, -0.101600	 -0.097209, -0.092941	 -0.088717, -0.084427
-0.080196, -0.076031	 -0.056761, -0.053791	 -0.050928, -0.048128
-0.045743, -0.043360	 -0.041031, -0.019554	 -0.019197, -0.018810
-0.019021, -0.019276	 -0.019570, -0.020578	 -0.005212, -0.007085
-0.009309, -0.011556	 -0.013825, -0.015982	 -0.018157, -0.009446
-0.012178, -0.014939	 -0.017704, -0.020624	 -0.023548, -0.026471
-0.024887, -0.027824	 -0.030764, -0.033445	 -0.036114, -0.038775
-0.041192, -0.043000	 -0.044785, -0.046402	 -0.048015, -0.049623
-0.051052, -0.052009	 -0.053222, -0.054414	 -0.055608, -0.056799
-0.058051, -0.059300	 -0.058891, -0.060862	 -0.062846, -0.064824
-0.066796, -0.069055	 -0.071302, -0.072898	 -0.075609, -0.078307
-0.080992, -0.083868	 -0.086730, -0.089577	 -0.094419, -0.097496
-0.100542, -0.104033	 -0.107500, -0.110944	 -0.114518, -0.122740
-0.126197, -0.129224	 -0.132216, -0.135181	 -0.138125, -0.140660
-0.150654, -0.153009	 -0.155410, -0.157803	 -0.160166, -0.162822
-0.165443, -0.176234	 -0.179736, -0.183155	 -0.186535, -0.190099
-0.193601, -0.197058	 -0.211328, -0.214893	 -0.218377, -0.221873
-0.225353, -0.228779	 -0.232161, -0.249011	 -0.252400, -0.255751
-0.259246, -0.262690	 -0.266085, -0.269724	 -0.288308, -0.291639
-0.294806, -0.297924	 -0.300992, -0.304113	 -0.307237, -0.327925
-0.331198, -0.334352	 -0.337441, -0.339634	 -0.341672, -0.361993
-0.362484, -0.362937	 -0.363356, -0.363721	 -0.364058, -0.364353
-0.377938, -0.377529	 -0.377077, -0.376346	 -0.375599, -0.374831
-0.373795, -0.382007	 -0.380723, -0.380048	 -0.379367, -0.378671
-0.378491, -0.378253	 -0.382950, -0.383295	 -0.384280, -0.385253
-0.386213, -0.387873	 -0.389516, -0.395097	 -0.396592, -0.398069
